Time,Mass(Average)
1998-01-01T00:00:00.000,987.9257439684884
1946-01-01T00:00:00.000,21471.45
1884-01-01T00:00:00.000,78805.6
1984-01-01T00:00:00.000,2027.6095511221947
1846-01-01T00:00:00.000,39725.71428571428
1926-01-01T00:00:00.000,11894.115384615385
1852-01-01T00:00:00.000,3048823.75
1978-01-01T00:00:00.000,3010.6476923076925
1841-01-01T00:00:00.000,10875.0
1937-01-01T00:00:00.000,53533.74423076923
1989-01-01T00:00:00.000,3495.5148148148146
1893-01-01T00:00:00.000,9824.166666666666
1621-01-01T00:00:00.000,1967.0
1981-01-01T00:00:00.000,4532.204718614718
1849-01-01T00:00:00.000,8369.1
1898-01-01T00:00:00.000,1655723.1470588236
1932-01-01T00:00:00.000,18412.976000000002
1887-01-01T00:00:00.000,56856.95238095238
1943-01-01T00:00:00.000,18362.7
1858-01-01T00:00:00.000,99977.875
1972-01-01T00:00:00.000,11132.334375
1970-01-01T00:00:00.000,8402.108510638298
1966-01-01T00:00:00.000,25139.454545454544
1864-01-01T00:00:00.000,133962.5
-35,139.5
1796-01-01T00:00:00.000,3175.0
1964-01-01T00:00:00.000,17137.367741935486
1866-01-01T00:00:00.000,75466.83333333333
1881-01-01T00:00:00.000,38714.7
1798-01-01T00:00:00.000,6350.0
1773-01-01T00:00:00.000,4000.0
1941-01-01T00:00:00.000,30087.66956521739
34567890,45.5
1889-01-01T00:00:00.000,45811.01333333333
1775-01-01T00:00:00.000,2900.0
1949-01-01T00:00:00.000,18144.545454545456
1957-01-01T00:00:00.000,44219.24705882353
1790-01-01T00:00:00.000,6400.0
1873-01-01T00:00:00.000,47122.0
1600-01-01T00:00:00.000,1.01E7
1875-01-01T00:00:00.000,629914.5
1958-01-01T00:00:00.000,540085.5383333333
1955-01-01T00:00:00.000,23904.545454545456
1961-01-01T00:00:00.000,22980.24074074074
1793-01-01T00:00:00.000,136000.0
1867-01-01T00:00:00.000,201956.875
1869-01-01T00:00:00.000,42572.083333333336
1963-01-01T00:00:00.000,11858.309090909092
1952-01-01T00:00:00.000,52637.464705882354
1784-01-01T00:00:00.000,2680202.5
1950-01-01T00:00:00.000,9755.594736842104
1878-01-01T00:00:00.000,25174.875
1781-01-01T00:00:00.000,158500.0
1870-01-01T00:00:00.000,39116.666666666664
1872-01-01T00:00:00.000,235400.0
1787-01-01T00:00:00.000,1500.0
1834-01-01T00:00:00.000,14666.666666666666
1637-01-01T00:00:00.000,17000.0
1973-01-01T00:00:00.000,53602.5448275862
1967-01-01T00:00:00.000,29097.23611111111
1809-01-01T00:00:00.000,195.0
2012-01-01T00:00:00.000,992.3832478632478
1863-01-01T00:00:00.000,1645900.6666666667
1857-01-01T00:00:00.000,20707.0
1805-01-01T00:00:00.000,501310.6666666667
1977-01-01T00:00:00.000,1275.3294033412888
1992-01-01T00:00:00.000,7805.776559139785
2002-01-01T00:00:00.000,1184.9175482625483
1815-01-01T00:00:00.000,8600.0
1795-01-01T00:00:00.000,12512.75
1811-01-01T00:00:00.000,2513.3333333333335
1830-01-01T00:00:00.000,531.0
1838-01-01T00:00:00.000,2711.4285714285716
2006-01-01T00:00:00.000,1995.423909498573
1996-01-01T00:00:00.000,700.832705061082
1847-01-01T00:00:00.000,38436.0
1983-01-01T00:00:00.000,1491.7735195530727
1986-01-01T00:00:00.000,532.0330276564774
1844-01-01T00:00:00.000,13977.5
1853-01-01T00:00:00.000,11861.4
1850-01-01T00:00:00.000,143025.0
1801-01-01T00:00:00.000,220.0
1840-01-01T00:00:00.000,51095.885714285716
1671-01-01T00:00:00.000,4500.0
1843-01-01T00:00:00.000,4875.0
1987-01-01T00:00:00.000,464.47025164113785
1628-01-01T00:00:00.000,29000.0
1623-01-01T00:00:00.000,10400.0
1982-01-01T00:00:00.000,631.5117732558139
1848-01-01T00:00:00.000,1436.0
1997-01-01T00:00:00.000,677.8511235955057
1806-01-01T00:00:00.000,6000.0
1833-01-01T00:00:00.000,470.0
2011-01-01T00:00:00.000,1076.5618617771509
1810-01-01T00:00:00.000,335976.0
1829-01-01T00:00:00.000,19442.0
2013-01-01T00:00:00.000,9471.636363636364
1808-01-01T00:00:00.000,173309.2
1804-01-01T00:00:00.000,263109.3333333333
1814-01-01T00:00:00.000,31305.7
1839-01-01T00:00:00.000,7958.2
1632-01-01T00:00:00.000,1040.0
1491-01-01T00:00:00.000,103.3
2003-01-01T00:00:00.000,462.5147049969898
1991-01-01T00:00:00.000,1035.9006407322654
2001-01-01T00:00:00.000,1062.8693939393938
1812-01-01T00:00:00.000,8820.0
2005-01-01T00:00:00.000,2148.8139359267734
1999-01-01T00:00:00.000,565.6657048693587
1831-01-01T00:00:00.000,11875.0
1835-01-01T00:00:00.000,2500.0
1993-01-01T00:00:00.000,171.7542358974359
2009-01-01T00:00:00.000,1505.205033025099
1837-01-01T00:00:00.000,620730.0
January 1  1970,-115.6
2007-01-01T00:00:00.000,543.7325185185185
1995-01-01T00:00:00.000,2295.5856288659793
1819-01-01T00:00:00.000,25333.333333333332
1821-01-01T00:00:00.000,91000.0
1817-01-01T00:00:00.000,0.2
1818-01-01T00:00:00.000,1.16462834E7
1826-01-01T00:00:00.000,13391.566666666666
1825-01-01T00:00:00.000,4960.0
1827-01-01T00:00:00.000,3116.6666666666665
1828-01-01T00:00:00.000,313900.0
1823-01-01T00:00:00.000,1457.0
1824-01-01T00:00:00.000,1666.6666666666667
1822-01-01T00:00:00.000,132230.65714285715
1820-01-01T00:00:00.000,5213.0
